Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
REVERE,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Richmond,Matt Kerwood,833,833,Curbside,,631,Y,Y,Y,,,Curbside,,Dual stream,115
ROCHESTER,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Rockland,Janice Mccarthy,6579,4895,Curbside,,5126,Y,Y,Y,,,Curbside,,Dual stream,1006
ROCKPORT,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Rowe,Jan Ameen,180,180,Drop off,,148,,,,,,Drop off,,Dual stream,45
ROWLEY,--- Did Not Report ---,,0,Subscription,,0,,,,,,Drop-off,,,0
ROYALSTON,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
RUSSELL,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
RUTLAND,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Salem,Julie Rose,18175,12676,Curbside,,12611,Y,Y,Y,Y,,Curbside,,Dual stream,2809
Salisbury,Lisa Pearson,4944,0,Subscription,,97,,,Y,Y,"parks, town clean up, beach, town pier",Drop off,,Dual stream,82
SANDISFIELD,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Sandwich,Paul S. Tilton,7500,5500,Drop off,,6696,,Y,Y,Y,,Drop off,,Dual stream,350
Saugus,Lorna Cerbone,9975,8758,Curbside,,8423,Y,Y,Y,,,Curbside,,Dual stream,1960
Savoy,Barbara Belisle,287,128,Drop off,,81,Y,,Y,,,Drop off,,Dual stream,28
Scituate,Kevin Cafferty,6804,5220,Drop off,,3371,,,Y,,,Drop off,,,1791
SEEKONK,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Sharon,Liz Curley,5669,4922,Curbside,,6048,,Y,Y,,,Curbside,,,1237
SHEFFIELD,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Shelburne,Jan Ameen,614,583,Drop off,,318,,,,,,Drop off,,Dual stream,146
Sherborn,Carol Rubenstein,1437,1437,Drop off,,1623,,Y,Y,Y,,Drop off,,Dual stream,701
Shirley,Dawn Mccall,2500,1730,Curbside,,1414,Y,,Y,,,Curbside,,Dual stream,1335
Shrewsbury,Daniel Morgado,12000,10000,Curbside,,8722,Y,Y,Y,,,Curbside,,Dual stream,3161
Shutesbury,Gary Bernhard,810,810,Curbside,,345,Y,Y,Y,Y,,Curbside,,Single stream,211
SOMERSET,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Somerville,Vithal Deshpande,31101,29000,Curbside,Semi-automated,24226,Y,Y,Y,Y,,Curbside,Semi-automated,Dual stream,4025
South Hadley,Veronique Blanchard Smith,6787,5855,Curbside,,4428,Y,,,,,Curbside,,Dual stream,1412
Southampton,Edward Cauley,2320,1600,Drop off,,791,Y,Y,Y,Y,"parks ,parking lots,ballfields and cemetery",Drop off,,Dual stream,1090
SOUTHBOROUGH,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Southbridge,Melissa Joyce,8087,6202,Curbside,,5704,Y,Y,Y,,,Curbside,Semi-automated,Single stream,1083
