Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
Dunstable,Joan Ferrari,1460,600,Drop off,"Other (including drop-off, subscription, and manual)",454,Y,,Y,,,Drop off,"Other (including drop-off, subscription, no service, and manual)",Dual stream,205
Duxbury,Peter Buttkus,5700,4400,Drop off,,2508,,,,Y,,Drop off,,Single stream,2135
East Bridgewater,John Haines,4235,3500,Curbside,Semi-automated,2278,Y,Y,Y,Y,,Curbside,Semi-automated,Dual stream,1087
East Brookfield,Donna Wentzell,938,905,Curbside,Semi-automated,553,Y,,Y,Y,,Curbside,Semi-automated,Dual stream,160
East Longmeadow,Nick Breault,5200,5200,Curbside,,3719,,Y,Y,,,Curbside,,Dual stream,1714
Eastham,Neil Andres,5500,3500,Drop off,,2754,,Y,Y,Y,national park service - cape cod national seashore,Drop off,,,685
Easthampton,Stuart Beckley,7700,0,Subscription,,120,,Y,Y,,,Drop off,,Dual stream,40
Easton,Maurice Goulet,5705,2791,Curbside,Automated,2526,,Y,Y,,,Curbside,,Single stream,810
EDGARTOWN,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Egremont,Mary Brazie & Juliette Haas,786,786,Drop off,,494,Y,Y,Y,Y,,Drop off,,Single stream,258
Erving,Jan Ameen,583,583,Curbside,,361,,,,,,Curbside,,Dual stream,187
ESSEX,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Everett,Jon Norton,16500,13644,Curbside,,16737,Y,Y,Y,Y,,Curbside,Semi-automated,Single stream,2592
Fairhaven,Patricia Fowle,6855,6399,Curbside,Semi-automated,6180,Y,Y,Y,Y,,Curbside,,Dual stream,935
Fall River,Betsey Westell,40408,33000,Curbside,,41117,Y,,,,,Curbside,,Dual stream,1930
Falmouth,John T. Lyons,31357,31357,Curbside,,13318,Y,,,,,Curbside,,Single stream,4080
Fitchburg,Stephen D. Curry,13553,13200,Curbside,,19000,Y,Y,Y,,,Curbside,,Single stream,1182
Florida,Duane Mundy,265,225,Drop off,,423,Y,Y,Y,,,Drop off,,Dual stream,96
FOXBOROUGH,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Framingham,Michael Lavin,26173,26003,Curbside,,16178,,,,,condos & drop-off center,Curbside,,Single stream,5349
Franklin,Chris White,10500,8650,Curbside,,8826,Y,Y,Y,,,Curbside,,Dual stream,2782
Freetown,John F. Healey,2936,2500,Curbside,,3148,,,Y,,,Curbside,,,171
Gardner,Bernard Sullivan,8200,6600,Curbside,,4043,Y,Y,Y,,,Curbside,,Single stream,1656
GEORGETOWN,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Gill,Jan Ameen,650,650,Curbside,,203,,,,,,Curbside,,Dual stream,127
Gloucester,Rose Lopiccolo,13000,12000,Curbside,,6695,Y,Y,Y,,,Curbside,,Dual stream,2987
Goshen,Eric Weiss,375,375,Drop-off,,160,Y,,Y,Y,,Drop-off,,Dual stream,125
Gosnold,Seth Garfield,114,114,Curbside,Automated,40,Y,Y,Y,Y,waste from visiting yachtsman during the boating season,Curbside,Automated,Dual stream,45
Grafton,Doreen Defazio,6971,4800,Curbside,,4000,Y,Y,Y,,,Curbside,,Single stream,1200
Granby,Christopher Martin,2821,1856,Drop off,,3845,Y,Y,Y,,,Drop off,,Dual stream,589
GRANVILLE,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
GREAT BARRINGTON,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Greenfield,Janine Greaves,5902,5237,Curbside,,3923,Y,Y,Y,,,Curbside,,Dual stream,1673
Groton,Tom Delaney,3395,1331,Drop off,,1270,Y,,Y,,small businesses that are also residents,Drop off,,,262
Groveland,Lori Bentsen,2238,2034,Curbside,,2368,Y,,Y,,,Curbside,,Dual stream,449
HADLEY,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Halifax,Susan Johnston,2945,2265,Curbside,,878,Y,Y,Y,,,Curbside,,Dual stream,396
Hamilton,John Tomasz,2379,2379,Curbside,Semi-automated,1884,Y,,Y,Y,,Curbside,Semi-automated,Dual stream,975
HAMPDEN,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Hancock,John Quimby,296,260,Drop off,,228,Y,Y,Y,,,Drop off,,Dual stream,55
Hanover,Victor Diniak,4349,4349,Drop off,,4498,,Y,Y,,,Drop off,,,1035
Hanson,Karen Doucette,3523,3523,Drop off,,3603,,,,Y,,Drop off,,Dual stream,415
Hardwick,Abbie White,753,383,Subscription,,0,Y,Y,Y,Y,,Drop off,,,128
Harvard,Richard C Nota,1928,1420,Drop off,,1303,,,Y,,,Drop off,,Dual stream,468
Harwich,Lincoln Hooper,12880,12800,Drop off,,7399,,Y,Y,Y,,Drop off,,Single stream,518
HATFIELD,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Haverhill,Stephen Clifford,24000,21500,Curbside,,24254,Y,Y,Y,Y,,Curbside,,Single stream,2564
Hawley,Jan Ameen,336,0,Subscription,,0,,,,,,Subscription,,Dual stream,0
Heath,Jan Ameen,365,253,Drop off,,209,,,,,,Drop off,,Dual stream,62
Hingham,Randy Sylvester,7189,7189,Drop off,,6673,,,Y,,,Drop off,,,2019
Hinsdale,Herbert Ferry,739,450,Drop off,,472,Y,,Y,,,Drop off,,Dual stream,114
HOLBROOK,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Holden,Dennis J. Lipka,6566,5450,Curbside,Semi-automated,4228,Y,,Y,,,Curbside,Semi-automated,Single stream,2254
HOLLAND,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Holliston,Andrea Minihan,4826,4417,Curbside,Semi-automated,4052,Y,Y,,Y,,Curbside,Semi-automated,Single stream,1831
Holyoke,Timothy E. Price Sr.,17259,16917,Curbside,,8241,Y,,,,transfer station,Curbside,,Dual stream,1706
HOPEDALE,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Hopkinton,David Daltorio,5047,4458,Curbside,,4458,Y,Y,Y,,,Curbside,,Dual stream,1748
Hubbardston,Sandra J. Knipe,1823,0,Subscription,,0,,,,,,Subscription,,Dual stream,0
HUDSON,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
HULL,--- Did Not Report ---,,0,Subscription,,0,,,,,,Drop-off,,,0
Huntington,Eric Weiss,875,875,Drop off,,494,Y,,Y,Y,,Drop off,,Dual stream,262
Ipswich,Rick Clarke,5450,4827,Curbside,,3798,Y,Y,Y,Y,,Curbside,,Single stream,1370
Kingston,Paul Basler,4248,2890,Drop off,,4241,,,Y,Y,,Drop off,,,368
LAKEVILLE,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Lancaster,Orlando Pacheco,2244,0,Subscription,,0,Y,,Y,,,Drop-off,,,121
Lanesborough,Paul Boudreau,1203,300,Subscription,,0,,,,,Municipal Drop-Off Recycling Only.  Private subscription.  Households using is anecdotal.,Drop off,,Dual stream,88
Lawrence,Joel Chalas,24463,20500,Curbside,Automated,29144,Y,Y,Y,Y,,Curbside,,Dual stream,1121
Lee,Jamie Cahillane,2442,0,Subscription,,0,,,,,,Subscription,,Dual stream,0
Leicester,Ruth Kaminski,3322,635,Subscription,,0,,,,,,Drop off,,,1389
Lenox,Jamie Cahillane,2000,0,Subscription,,0,,,,,,Subscription,,Dual stream,0
Leominster,Christopher J. Knuth,12580,11500,Curbside,Semi-automated,9455,Y,Y,Y,,,Curbside,Semi-automated,Single stream,2335
Leverett,Jan Ameen,854,550,Drop off,,195,,,Y,,,Drop off,,Dual stream,163
Lexington,Robert Beaudoin,11427,10982,Curbside,,8563,Y,Y,Y,,,Curbside,,Dual stream,4634
Leyden,Jan Ameen,771,0,Subscription,,0,,,,,,Subscription,,Dual stream,0
LINCOLN,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Littleton,Jim Clyde,3300,1900,Drop off,,2186,Y,,,,,Drop off,,Dual stream,599
Longmeadow,Mike Wrabel,6200,5500,Curbside,,3537,,Y,Y,Y,,Curbside,,Dual stream,2047
Lowell,Gunther Wellenstein,38000,25000,Curbside,Automated,30106,,,,,,Curbside,,Dual stream,4019
Ludlow,Jim Goodreau,7000,6800,Curbside,Semi-automated,6684,Y,,Y,,,Curbside,Semi-automated,Dual stream,1383
Lunenburg,Laura Williams,3800,3200,Curbside,Semi-automated,1385,,Y,Y,,,Curbside,Semi-automated,Single stream,718
Lynn,Manny Alcantara,32000,27388,Curbside,,33139,Y,Y,Y,Y,,Curbside,,Dual stream,2269
LYNNFIELD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Malden,Ron Zanazzo,22496,18283,Curbside,,10332,Y,Y,Y,Y,,Curbside,,Dual stream,3590
MANCHESTER,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Mansfield,Betty Amicone,9700,6563,Curbside,Automated,5134,,,,Y,,Curbside,Automated,Single stream,2673
Marblehead,Wayne Attridge,8450,8450,Curbside,Automated,9135,Y,Y,Y,Y,,Curbside,Automated,Dual stream,2312
MARION,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Marlborough,Tom Temple,12500,12500,Curbside,,13994,Y,Y,Y,,,Curbside,,Dual stream,16959
Marshfield,Debbie Sullivan,9500,9260,Curbside,,8255,Y,Y,Y,Y,,Curbside,,Dual stream,3074
Mashpee,Catherine Laurent,9433,4724,Drop off,,3885,,,,,,Drop off,,Single stream,749
MATTAPOISETT,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
MAYNARD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
MEDFIELD,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Medford,Donna Walsh,15723,15723,Curbside,Semi-automated,22675,Y,,Y,Y,,Curbside,Semi-automated,Dual stream,2626
Medway,Tom Holder,4500,3870,Curbside,Semi-automated,3155,Y,Y,Y,,,Curbside,Semi-automated,Dual stream,1573
Melrose,Mary Beth Calnan,11981,8759,Curbside,,8375,Y,Y,Y,,,Curbside,,Dual stream,2055
MENDON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Merrimac,Carol Mcleod,2800,2300,Curbside,,980,Y,,Y,,,Curbside,,,550
Methuen,Matt Zettek,17361,13654,Curbside,,16422,Y,Y,Y,,,Curbside,,Dual stream,2342
MIDDLEBOROUGH,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Middlefield,Eric Weiss,200,200,Drop off,,136,Y,,Y,Y,,Drop off,,Dual stream,76
MIDDLETON,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Milford,Paul A. Mazzuchelli,9375,8900,Curbside,Automated,8815,Y,Y,Y,,,Curbside,Automated,Dual stream,1455
MILLBURY,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
MILLIS,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Millville,Sherry Grant,1326,1326,Curbside,,1104,,,Y,,"occasionally bulky, not often",Curbside,,Dual stream,241
